Anio,Fecha,Segmento,Marca,Modelo,Valor,Modelo_Original,Archivo_Origen
2018,2018-03-01,Segmento A Sedan,MITSUBISHI,MITSUBISHI MIRAGE SEDAN,18,MITSUBISHI MIRAGE SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-04-01,Segmento A Sedan,MITSUBISHI,MITSUBISHI MIRAGE SEDAN,21,MITSUBISHI MIRAGE SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-05-01,Segmento A Sedan,MITSUBISHI,MITSUBISHI MIRAGE SEDAN,31,MITSUBISHI MIRAGE SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-06-01,Segmento A Sedan,MITSUBISHI,MITSUBISHI MIRAGE SEDAN,12,MITSUBISHI MIRAGE SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-07-01,Segmento A Sedan,MITSUBISHI,MITSUBISHI MIRAGE SEDAN,7,MITSUBISHI MIRAGE SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-08-01,Segmento A Sedan,MITSUBISHI,MITSUBISHI MIRAGE SEDAN,18,MITSUBISHI MIRAGE SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-09-01,Segmento A Sedan,MITSUBISHI,MITSUBISHI MIRAGE SEDAN,5,MITSUBISHI MIRAGE SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-10-01,Segmento A Sedan,MITSUBISHI,MITSUBISHI MIRAGE SEDAN,20,MITSUBISHI MIRAGE SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-11-01,Segmento A Sedan,MITSUBISHI,MITSUBISHI MIRAGE SEDAN,11,MITSUBISHI MIRAGE SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-12-01,Segmento A Sedan,MITSUBISHI,MITSUBISHI MIRAGE SEDAN,16,MITSUBISHI MIRAGE SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-01-01,Segmento A Sedan,CHEVROLET,CHEVROLET BEAT SEDAN,11,CHEVROLET BEAT SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-02-01,Segmento A Sedan,CHEVROLET,CHEVROLET BEAT SEDAN,6,CHEVROLET BEAT SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-03-01,Segmento A Sedan,CHEVROLET,CHEVROLET BEAT SEDAN,7,CHEVROLET BEAT SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-04-01,Segmento A Sedan,CHEVROLET,CHEVROLET BEAT SEDAN,10,CHEVROLET BEAT SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-05-01,Segmento A Sedan,CHEVROLET,CHEVROLET BEAT SEDAN,17,CHEVROLET BEAT SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-06-01,Segmento A Sedan,CHEVROLET,CHEVROLET BEAT SEDAN,12,CHEVROLET BEAT SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-07-01,Segmento A Sedan,CHEVROLET,CHEVROLET BEAT SEDAN,9,CHEVROLET BEAT SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-08-01,Segmento A Sedan,CHEVROLET,CHEVROLET BEAT SEDAN,13,CHEVROLET BEAT SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-09-01,Segmento A Sedan,CHEVROLET,CHEVROLET BEAT SEDAN,11,CHEVROLET BEAT SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-10-01,Segmento A Sedan,CHEVROLET,CHEVROLET BEAT SEDAN,11,CHEVROLET BEAT SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-11-01,Segmento A Sedan,CHEVROLET,CHEVROLET BEAT SEDAN,22,CHEVROLET BEAT SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-12-01,Segmento A Sedan,CHEVROLET,CHEVROLET BEAT SEDAN,6,CHEVROLET BEAT SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-01-01,Segmento A Sedan,JINBEI,JINBEI ESY SEDAN,0,JINBEI ESY SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-02-01,Segmento A Sedan,JINBEI,JINBEI ESY SEDAN,0,JINBEI ESY SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-03-01,Segmento A Sedan,JINBEI,JINBEI ESY SEDAN,0,JINBEI ESY SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-04-01,Segmento A Sedan,JINBEI,JINBEI ESY SEDAN,0,JINBEI ESY SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-05-01,Segmento A Sedan,JINBEI,JINBEI ESY SEDAN,0,JINBEI ESY SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-06-01,Segmento A Sedan,JINBEI,JINBEI ESY SEDAN,0,JINBEI ESY SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-07-01,Segmento A Sedan,JINBEI,JINBEI ESY SEDAN,0,JINBEI ESY SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-08-01,Segmento A Sedan,JINBEI,JINBEI ESY SEDAN,0,JINBEI ESY SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-09-01,Segmento A Sedan,JINBEI,JINBEI ESY SEDAN,0,JINBEI ESY SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-10-01,Segmento A Sedan,JINBEI,JINBEI ESY SEDAN,0,JINBEI ESY SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-11-01,Segmento A Sedan,JINBEI,JINBEI ESY SEDAN,0,JINBEI ESY SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-12-01,Segmento A Sedan,JINBEI,JINBEI ESY SEDAN,0,JINBEI ESY SEDAN,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-01-01,Segmento A Hatchback,KIA,KIA PICANTO HATCHBACK,199,KIA PICANTO HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-02-01,Segmento A Hatchback,KIA,KIA PICANTO HATCHBACK,117,KIA PICANTO HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-03-01,Segmento A Hatchback,KIA,KIA PICANTO HATCHBACK,158,KIA PICANTO HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-04-01,Segmento A Hatchback,KIA,KIA PICANTO HATCHBACK,171,KIA PICANTO HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-05-01,Segmento A Hatchback,KIA,KIA PICANTO HATCHBACK,180,KIA PICANTO HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-06-01,Segmento A Hatchback,KIA,KIA PICANTO HATCHBACK,150,KIA PICANTO HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-07-01,Segmento A Hatchback,KIA,KIA PICANTO HATCHBACK,133,KIA PICANTO HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-08-01,Segmento A Hatchback,KIA,KIA PICANTO HATCHBACK,178,KIA PICANTO HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-09-01,Segmento A Hatchback,KIA,KIA PICANTO HATCHBACK,120,KIA PICANTO HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-10-01,Segmento A Hatchback,KIA,KIA PICANTO HATCHBACK,150,KIA PICANTO HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-11-01,Segmento A Hatchback,KIA,KIA PICANTO HATCHBACK,163,KIA PICANTO HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-12-01,Segmento A Hatchback,KIA,KIA PICANTO HATCHBACK,172,KIA PICANTO HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-01-01,Segmento A Hatchback,TOYOTA,TOYOTA AGYA HATCHBACK,0,TOYOTA AGYA HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-02-01,Segmento A Hatchback,TOYOTA,TOYOTA AGYA HATCHBACK,10,TOYOTA AGYA HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-03-01,Segmento A Hatchback,TOYOTA,TOYOTA AGYA HATCHBACK,47,TOYOTA AGYA HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-04-01,Segmento A Hatchback,TOYOTA,TOYOTA AGYA HATCHBACK,39,TOYOTA AGYA HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-05-01,Segmento A Hatchback,TOYOTA,TOYOTA AGYA HATCHBACK,44,TOYOTA AGYA HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-06-01,Segmento A Hatchback,TOYOTA,TOYOTA AGYA HATCHBACK,31,TOYOTA AGYA HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-07-01,Segmento A Hatchback,TOYOTA,TOYOTA AGYA HATCHBACK,17,TOYOTA AGYA HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-08-01,Segmento A Hatchback,TOYOTA,TOYOTA AGYA HATCHBACK,31,TOYOTA AGYA HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-09-01,Segmento A Hatchback,TOYOTA,TOYOTA AGYA HATCHBACK,17,TOYOTA AGYA HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-10-01,Segmento A Hatchback,TOYOTA,TOYOTA AGYA HATCHBACK,18,TOYOTA AGYA HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-11-01,Segmento A Hatchback,TOYOTA,TOYOTA AGYA HATCHBACK,30,TOYOTA AGYA HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-12-01,Segmento A Hatchback,TOYOTA,TOYOTA AGYA HATCHBACK,26,TOYOTA AGYA HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-01-01,Segmento A Hatchback,SUZUKI,SUZUKI ALTO HATCHBACK,14,SUZUKI ALTO HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-02-01,Segmento A Hatchback,SUZUKI,SUZUKI ALTO HATCHBACK,21,SUZUKI ALTO HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-03-01,Segmento A Hatchback,SUZUKI,SUZUKI ALTO HATCHBACK,24,SUZUKI ALTO HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-04-01,Segmento A Hatchback,SUZUKI,SUZUKI ALTO HATCHBACK,29,SUZUKI ALTO HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-05-01,Segmento A Hatchback,SUZUKI,SUZUKI ALTO HATCHBACK,20,SUZUKI ALTO HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-06-01,Segmento A Hatchback,SUZUKI,SUZUKI ALTO HATCHBACK,23,SUZUKI ALTO HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-07-01,Segmento A Hatchback,SUZUKI,SUZUKI ALTO HATCHBACK,22,SUZUKI ALTO HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-08-01,Segmento A Hatchback,SUZUKI,SUZUKI ALTO HATCHBACK,31,SUZUKI ALTO HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-09-01,Segmento A Hatchback,SUZUKI,SUZUKI ALTO HATCHBACK,33,SUZUKI ALTO HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-10-01,Segmento A Hatchback,SUZUKI,SUZUKI ALTO HATCHBACK,26,SUZUKI ALTO HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-11-01,Segmento A Hatchback,SUZUKI,SUZUKI ALTO HATCHBACK,18,SUZUKI ALTO HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-12-01,Segmento A Hatchback,SUZUKI,SUZUKI ALTO HATCHBACK,14,SUZUKI ALTO HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
